123VS50,Enrique Iglesias,1976,63012961:90367491:05410853
131SF27,Gustavo Quinta,2000,05410853:42914369
156FA61,Domingo Fauto,2006,51847521:80358608:63927077
189BJ32,Romina Maria,1988,51847521:85526164:46071613
192SP02,Santos Piñeiro,2002,00743136:90367491:97811309
615ME80,Moises Estevez,1980,69502971:28431003:51847521
951RG80,Ricard Gaspar,1980,05410853:70839950:35889346
681PM85,Paul Montero,1985,68526874:80358608:85526164
926IM46,Irene Marti,1946,66389462:97811309:85526164
610OA58,Omar Amoroso,1958,51847521:05410853:51847521
